Gene	ESC_CTCF	ESC_esrrb	ESC_mafk	ESC_myc	ESC_nanog	ESC_pou5f1	ESC_sox2	ESC_Sp1	ESC_Sp3
1700071K01Rik	0	0	0	0	0	0	0	0	0
1700084E18Rik	0	0	0	1	0	1	0	0	0
1700086O06Rik	0	0	0	1	0	0	0	0	1
1700092M07Rik	0	0	0	0	0	0	0	0	0
1700094D03Rik	0	0	0	0	0	0	0	0	0
1700094J05Rik	0	0	0	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0	0	0	0
1700095J12Rik	0	0	0	0	0	0	0	0	0
1700096K18Rik	0	0	1	0	0	0	0	1	1
1700097N02Rik	0	0	0	0	0	0	0	0	0
1700099I09Rik	0	0	0	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0	0	0	0
1700101I11Rik	0	0	1	0	0	0	0	1	1
1700102P08Rik	1	0	0	0	0	0	1	1	1
1700105P06Rik	0	0	0	0	1	0	0	1	1
1700108J01Rik	0	0	0	0	1	0	0	0	0
1700109H08Rik	0	0	0	0	0	0	0	0	0
1700109K24Rik	0	0	0	0	0	0	0	0	0
1700110I01Rik	0	0	0	0	0	0	0	0	0
1700112E06Rik	0	0	0	0	0	0	0	0	0
1700112J16Rik	0	0	0	0	0	0	0	0	0
1700113A16Rik	0	0	0	0	0	0	0	0	0
1700120C14Rik	0	0	0	0	0	0	0	0	0
1700120K04Rik	0	0	0	0	0	0	0	0	0
1700123M08Rik	0	0	0	1	0	1	0	0	0
1700123O20Rik	1	0	0	0	0	0	0	0	0
1700124L16Rik	0	0	0	0	0	0	0	0	0
1700125H03Rik	0	0	0	0	1	1	1	1	1
1810009A15Rik	0	0	0	0	0	0	0	1	0
1810010H24Rik	0	0	0	1	0	0	0	1	1
1810011O10Rik	0	0	0	0	0	0	0	0	0
1810012K16Rik	1	0	0	0	0	0	0	0	0
1810013L24Rik	1	0	1	1	1	1	0	1	1
1810014B01Rik	0	1	1	0	0	0	0	1	1
1810019D21Rik	0	0	0	0	0	1	0	0	0
1810022K09Rik	1	0	0	1	0	0	0	1	1
1810026B05Rik	0	1	1	1	0	0	0	0	1
1810030O07Rik	0	0	0	0	0	0	0	1	1
1810032O08Rik	1	0	0	1	0	0	0	1	1
1810034E14Rik	1	0	0	0	0	1	0	0	1
1810037I17Rik	0	0	0	0	0	0	0	0	0
1810041H14Rik	0	0	1	1	0	1	0	0	0
1810043G02Rik	0	0	0	0	0	1	0	1	1
1810044D09Rik	0	0	0	0	0	1	0	1	1
1810055G02Rik	0	0	1	1	0	1	0	1	1
1810058I24Rik	1	0	1	1	0	1	0	1	1
1810062G17Rik	0	0	0	0	0	0	0	0	0
1810062O18Rik	0	0	0	1	0	1	0	1	1
1810063I02Rik	0	0	0	0	0	1	0	0	0
2010001A14Rik	0	1	0	0	1	0	0	1	0
2010009K17Rik	0	0	0	0	0	0	0	0	0
2010010A06Rik	0	0	0	0	0	0	0	0	0
2010106C02Rik	0	0	0	0	0	0	0	0	0
2010107E04Rik	1	1	1	1	0	1	0	0	1
2010107G23Rik	1	0	0	0	0	0	0	1	1
2010111I01Rik	0	0	0	1	0	1	0	1	1
2010204K13Rik	0	0	0	0	0	0	0	0	0
2010315B03Rik	0	0	1	0	0	0	0	0	0
2010320M18Rik	0	0	0	1	0	0	0	0	1
2200002D01Rik	1	0	0	0	0	0	0	0	1
2210011C24Rik	0	0	0	0	0	0	0	1	0
2210013O21Rik	0	0	0	0	0	0	0	0	0
2210016F16Rik	0	0	0	0	0	0	0	0	0
2210016L21Rik	1	0	1	0	0	0	0	0	1
2210406O10Rik	0	0	0	0	0	0	0	0	0
2210408F21Rik	0	0	1	0	0	0	0	1	1
2210408I21Rik	0	0	0	0	0	0	0	0	0
2210409E12Rik	0	0	0	0	0	0	0	0	0
2210418O10Rik	0	0	0	1	0	1	0	0	0
2300009A05Rik	0	1	1	0	0	1	0	1	1
2310009A05Rik	0	0	0	0	0	0	0	0	0
2310009B15Rik	1	0	0	0	0	1	0	1	1
2310010J17Rik	0	0	0	1	0	1	0	0	0
2310011J03Rik	0	0	0	0	0	0	0	0	0
2310015A10Rik	1	0	1	0	0	0	0	0	1
2310022A10Rik	0	1	0	0	0	0	0	0	0
2310022B05Rik	0	0	0	0	0	0	0	0	0
2310030G06Rik	1	0	0	0	0	1	0	0	0
2310033P09Rik	1	0	0	0	0	1	0	1	1
2310034G01Rik	0	0	0	1	0	0	0	1	1
2310035C23Rik	0	0	0	0	0	1	0	1	1
2310036O22Rik	0	0	0	1	0	0	0	1	1
2310039H08Rik	1	1	0	1	0	0	0	1	1
2310039L15Rik	0	0	0	0	0	0	0	0	0
2310040G24Rik	0	0	1	0	0	0	0	0	1
2310045n01rik-mef2b	0	0	0	0	0	0	0	0	0
2310057M21Rik	0	1	1	1	0	1	0	1	1
2310061I04Rik	0	1	0	1	0	1	0	1	1
2310068J16Rik	0	1	0	1	0	0	0	0	0
2400006E01Rik	0	0	0	0	0	0	0	0	0
2410002F23Rik	0	0	1	1	0	1	0	1	1
2410003L11Rik	1	0	1	1	0	0	0	1	1
2410004B18Rik	1	0	0	0	0	0	0	1	1
2410004I01Rik	0	0	0	0	0	1	0	0	0
2410006H16Rik	0	1	1	1	0	0	0	1	0
2410015M20Rik	0	0	0	0	0	1	0	0	0
2410021H03Rik	0	1	1	0	0	1	1	0	1
2410089E03Rik	0	0	0	0	0	1	0	1	1
2410124H12Rik	1	0	0	0	0	0	0	0	0
2410131K14Rik	0	1	1	0	0	1	0	0	1
2410137M14Rik	0	0	1	0	1	1	1	0	0
2410141K09Rik	0	1	1	1	1	1	1	1	1
2500002B13Rik	0	1	1	0	0	0	0	0	1
2500004C02Rik	0	0	1	1	0	0	0	1	0
2510002D24Rik	0	0	0	1	0	0	0	1	1
2510003B16Rik	1	0	1	0	0	0	0	0	0
2510009E07Rik	0	0	0	0	0	0	0	0	1
2510039O18Rik	0	1	0	0	0	0	0	1	1
2610001J05Rik	0	0	1	0	0	0	0	0	1
2610002M06Rik	0	0	0	0	0	0	0	1	1
2610005L07Rik	0	0	0	0	0	0	0	0	0
2610008E11Rik	0	0	0	0	0	1	0	0	1
2610020C07Rik	0	0	0	0	0	0	0	0	1
2610020H08Rik	0	0	0	0	0	0	0	1	1
2610027K06Rik	1	0	0	0	0	0	0	1	1
2610035D17Rik	0	0	0	0	0	0	0	1	1
2610035F20Rik	0	0	0	0	0	1	0	0	1
2610037D02Rik	0	0	0	0	0	1	1	0	0
2610042L04Rik	1	1	1	1	0	1	1	1	1
2610044O15Rik8	0	1	0	1	0	1	0	1	1
2610301B20Rik	0	0	1	0	0	1	0	0	1
2610306M01Rik	0	1	0	0	0	0	0	0	1
2610307P16Rik	0	1	0	0	0	0	1	0	0
2610318N02Rik	0	0	0	1	0	0	0	0	0
2610507B11Rik	1	0	0	0	0	1	0	1	0
2610524H06Rik	1	0	0	0	0	0	0	1	1
2610528J11Rik	0	0	0	0	0	1	0	0	0
2700038G22Rik	1	0	0	1	0	0	0	1	1
2700046A07Rik	0	0	0	0	0	0	0	0	0
2700046G09Rik	0	1	0	1	0	1	0	0	0
2700049A03Rik	0	0	1	0	0	0	0	1	1
2700060E02Rik	0	0	1	0	0	1	0	1	1
2700062C07Rik	1	0	1	1	0	0	0	0	1
2700081O15Rik	1	1	0	0	0	0	0	0	1
2700097O09Rik	0	0	0	0	0	0	0	0	0
2700099C18Rik	0	0	0	0	0	0	0	1	1
2810001G20Rik	0	0	0	0	0	0	0	0	0
2810002D19Rik	0	0	0	0	0	1	0	0	1
2810004N23Rik	0	0	0	1	0	0	0	0	0
2810006K23Rik	0	0	0	0	0	0	0	0	0
2810013P06Rik	0	0	1	1	0	0	0	1	0
2810021J22Rik	0	0	0	0	0	0	0	0	1
2810025M15Rik	1	0	0	0	0	0	0	1	0
2810403A07Rik	0	0	1	1	0	1	0	0	1
2810408A11Rik	0	0	0	0	1	1	1	1	1
2810408I11Rik	0	1	1	0	0	1	0	1	1
2810410L24Rik	0	0	0	0	0	0	0	0	0
2810428I15Rik	1	0	0	0	0	0	0	0	0
2810429I04Rik	0	1	0	0	0	1	0	1	1
2810454H06Rik	0	0	0	0	0	0	0	0	0
2810468N07Rik	1	1	0	0	0	1	0	0	0
2810474O19Rik	0	0	0	0	0	0	0	1	1
2900009J06Rik	0	1	1	1	0	1	0	0	1
2900011O08Rik	0	0	0	0	0	0	0	0	0
2900026A02Rik	0	0	1	0	0	0	0	0	0
2900041M22Rik	0	0	0	0	0	0	0	1	1
2900060B14Rik	1	0	1	0	0	1	1	1	1
2900076A07Rik	0	0	1	1	0	1	0	0	1
2900097C17Rik	0	0	1	1	0	1	0	0	1
3000002C10Rik	0	0	0	0	0	0	0	0	0
3010003L21Rik	0	0	0	1	0	0	0	0	0
3110002H16Rik	1	1	1	0	0	1	0	1	1
3110009E18Rik	1	0	1	1	0	0	0	0	0
3110021A11Rik	0	0	0	1	0	0	0	1	1
3110040N11Rik	1	0	0	1	0	1	0	0	1
3110043O21Rik	0	0	1	0	0	1	0	1	0
3110056K07Rik	0	1	0	1	0	1	0	1	0
3110062M04Rik	1	0	0	1	0	1	0	1	1
3110082I17Rik	0	0	1	1	0	1	0	1	1
3300002I08Rik	0	0	1	0	0	1	0	0	1
3632451O06Rik	0	0	0	0	0	1	0	1	1
3830406C13Rik	0	0	1	0	0	1	0	1	1
3830408C21Rik	0	0	0	0	0	0	0	0	1
3830417A13Rik	0	0	0	0	0	0	0	0	0
3830432H09Rik	0	0	0	0	0	0	0	0	0
4631405J19Rik	0	0	0	0	0	0	0	0	0
4632404H12Rik	1	1	1	1	0	1	0	1	1
4632415L05Rik	1	1	0	0	0	1	0	0	1
4632427E13Rik	0	0	1	1	0	0	0	0	1
4732416N19Rik	0	0	0	0	0	1	0	1	1
4732471J01Rik	0	0	0	0	0	0	0	1	1
4833412C05Rik	0	0	0	1	0	1	0	0	1
4833417C18Rik	0	0	1	1	0	1	0	1	1
4833420G17Rik	0	0	1	0	0	1	0	1	1
4833422C13Rik	0	0	0	0	0	0	0	0	0
4833439L19Rik	1	0	1	0	0	1	0	0	1
4921511C10Rik	0	0	0	0	0	0	0	0	0
4921524J17Rik	0	0	0	0	0	1	0	1	1
4921531C22Rik	0	0	1	1	0	1	0	1	1
4930402H24Rik	1	0	0	0	0	0	0	1	1
4930404I05Rik	0	0	0	0	0	0	0	0	0
4930404N11Rik	0	1	0	0	0	0	0	0	0
4930405A21Rik	1	1	0	1	0	1	0	0	0
4930405J17Rik	0	1	0	0	1	0	0	0	0
4930405O22Rik	0	0	0	0	0	0	0	0	0
4930412O13Rik	0	0	0	0	0	0	0	0	0
4930413G21Rik	0	0	1	0	0	1	0	1	1
4930414N06Rik	0	0	0	0	0	0	0	0	0
4930415F15Rik	0	0	0	0	0	0	0	0	0
4930427A07Rik	0	0	0	0	0	0	0	0	0
4930429B21Rik	0	0	1	1	0	1	0	0	1
4930430F08Rik	0	0	0	0	0	0	0	1	1
4930432K21Rik	0	0	0	1	0	1	0	0	1
4930444G20Rik	0	0	0	0	0	0	0	0	0
4930444M15Rik	0	0	0	0	0	0	0	0	0
4930447C04Rik	0	0	0	0	0	1	0	0	0
4930451G09Rik	0	0	1	1	0	1	0	1	1
4930452B06Rik	0	1	0	1	0	1	0	0	1
4930453N24Rik	0	0	1	1	0	0	0	1	1
4930455C13Rik	0	0	0	0	0	1	0	0	0
4930461G14Rik	0	1	1	1	1	1	1	1	1
4930465K10Rik	1	0	1	0	0	1	0	0	0
4930469G21Rik	0	1	0	0	0	1	0	0	0
4930473A02Rik	1	0	0	0	0	0	0	1	1
4930478L05Rik	0	1	0	0	0	1	1	0	0
4930480K23Rik	1	0	0	0	0	1	0	0	0
4930483K19Rik	0	0	0	0	0	0	0	0	0
4930486L24Rik	0	0	0	0	0	0	0	0	0
4930487H11Rik	1	0	0	0	0	0	0	0	0
4930502E09Rik	0	0	0	1	0	0	0	0	0
4930502E18Rik	0	0	0	0	0	0	0	0	0
4930503L19Rik	0	0	0	0	0	0	0	1	0
4930507D05Rik	0	0	0	0	0	0	0	0	0
4930509E16Rik	1	0	0	1	0	0	0	0	0
4930511A08Rik	0	0	0	0	0	0	0	0	0
4930512B01Rik	0	0	0	0	0	0	0	0	0
4930513N10Rik	0	0	0	1	0	0	0	0	0
4930515G01Rik	0	0	0	1	0	1	0	0	0
4930519F16Rik	0	0	0	0	0	0	0	0	0
4930520O04Rik	1	1	0	0	0	0	0	1	1
4930521E06Rik	0	0	0	0	0	0	0	0	0
4930524B15Rik	0	0	0	0	0	0	0	0	1
4930526I15Rik	0	0	1	1	0	1	0	1	1
4930526L06Rik	0	0	0	0	0	0	0	0	0
4930528A17Rik	0	0	1	1	0	0	0	1	0
4930539E08Rik	0	0	0	0	0	0	0	0	0
4930539J05Rik	0	0	1	1	0	1	0	1	0
4930544G11Rik	0	0	0	0	0	0	0	0	0
4930548H24Rik	0	0	0	0	0	0	0	0	0
4930549C15Rik	0	0	0	0	1	0	0	0	0
4930549G23Rik	0	0	0	1	0	0	0	0	0
4930550C14Rik	0	0	0	1	0	0	0	1	1
4930556M19Rik	1	0	0	0	0	0	0	0	0
4930556N13Rik	0	0	0	0	0	0	0	0	0
4930557K07Rik	0	0	0	0	0	0	0	1	1
4930558J18Rik	0	0	0	0	0	0	0	0	0
4930563E22Rik	0	0	0	0	0	1	0	0	1
4930563F08Rik	0	0	0	0	0	0	0	0	0
4930563M21Rik	0	0	0	0	0	0	0	0	0
4930564C03Rik	0	0	0	0	0	0	0	0	0
4930565N06Rik	0	0	0	0	0	0	0	0	0
4930577N17Rik	0	0	0	0	0	1	0	0	1
4930579G18Rik	1	0	0	0	0	0	0	0	0
4930579G24Rik	0	0	0	0	0	0	0	0	0
4930579J19Rik	0	0	0	0	0	0	0	0	0
4930581F22Rik	0	0	0	0	0	0	0	0	0
4930591A17Rik	0	0	0	0	0	0	0	0	0
4930592I03Rik	0	0	0	0	0	0	0	0	0
4930594C11Rik	0	0	0	0	0	0	0	0	0
4930596I21Rik	0	0	0	0	0	0	0	0	0
4931403E22Rik	0	0	0	0	0	0	0	0	0
4931403G20Rik	0	0	0	0	0	0	0	0	0
4931406C07Rik	0	0	1	1	0	1	0	0	1
4931406H21Rik	0	0	0	0	0	0	0	0	0
4931406P16Rik	0	0	0	0	0	0	0	0	0
4931414P19Rik	0	0	0	0	0	0	0	1	1
4931428F04Rik	0	0	0	0	0	1	0	1	1
4931440P22Rik	1	1	1	1	0	1	0	0	0
4932413F04Rik	0	0	0	0	0	0	0	0	0
4932416H05Rik	0	0	0	0	0	0	0	1	0
4932438A13Rik	0	0	0	0	0	1	0	0	1
4932441J04Rik	0	0	0	0	0	0	0	0	0
4933400F21Rik	0	0	0	0	0	0	0	0	0
4933401H06Rik	0	0	0	0	0	0	0	0	0
4933402D24Rik	0	0	0	0	0	0	0	0	0
4933402E13Rik	0	0	0	0	0	0	0	0	0
4933403O08Rik	0	0	0	0	0	0	0	0	0
4933404O12Rik	0	0	0	0	0	0	0	1	1
4933405L10Rik	0	0	0	0	0	0	0	0	1
4933406J10Rik	0	1	0	0	0	0	0	0	0
4933407K13Rik	0	0	0	0	0	0	0	0	1
4933408B17Rik	0	0	0	0	0	0	0	0	0
4933412E12Rik	1	1	0	0	0	0	0	0	0
4933413G19Rik	0	0	0	0	0	0	0	0	0
4933413J09Rik	0	0	0	0	0	0	0	0	1
4933416M07Rik	0	0	0	0	0	0	0	1	1
4933417D19Rik	0	0	0	0	0	0	0	0	0
4933417G07Rik	0	0	0	0	0	0	0	0	0
4933421O10Rik	0	0	0	0	0	0	0	0	0
4933427D06Rik	0	0	0	0	0	0	0	0	0
4933427D14Rik	0	0	0	0	0	0	0	0	0
4933428G20Rik	0	0	0	1	0	0	0	0	0
4933430I17Rik	0	0	1	0	0	1	0	1	1
4933431G14Rik	0	0	0	0	0	0	0	0	0
4933433G15Rik	0	0	0	1	0	0	0	0	0
4933433G19Rik	0	0	0	0	0	0	0	0	0
4933434E20Rik	0	0	1	1	0	0	0	0	1
4933438K21Rik	0	0	0	0	0	0	0	0	0
4933439C10Rik	0	0	0	0	1	1	0	1	1
5031425E22Rik	1	1	1	1	0	0	0	1	1
5031439G07Rik	0	0	0	0	0	1	0	1	1
5033406O09Rik	0	1	1	0	0	0	0	1	1
5033428I22Rik	0	0	0	0	0	0	0	0	0
5430405H02Rik	1	0	0	0	0	1	0	0	0
5430416N02Rik	0	0	0	1	0	1	0	1	1
5430428K19Rik	0	0	0	0	0	0	0	0	0
5530601H04Rik	0	0	0	0	0	0	0	0	0
5730405O15Rik	0	0	0	0	0	0	0	1	1
5730408K05Rik	0	0	0	1	0	0	0	0	1
5730409E04Rik	0	0	0	1	0	0	0	0	1
5730416F02Rik	0	0	0	0	0	0	0	0	0
5730420D15Rik	1	0	0	0	0	0	0	1	0
5730455P16Rik	0	0	1	0	0	1	0	0	1
5730460C07Rik	0	0	0	0	0	0	0	0	0
5730480H06Rik	0	0	0	0	0	0	0	0	0
5730507C01Rik	0	0	0	0	0	0	0	0	0
5730508B09Rik	0	0	0	0	0	1	0	1	1
5730559C18Rik	1	0	0	0	0	1	0	1	1
5830417I10Rik	0	0	0	0	0	0	0	0	0
5830418P13Rik	0	0	0	0	0	0	0	0	0
5830432E09Rik	0	0	0	0	0	0	0	0	0
5830454E08Rik	1	0	0	0	0	0	0	0	1
5930412G12Rik	0	1	1	0	0	1	1	1	1
6030419C18Rik	0	1	0	0	0	0	0	0	1
6030443J06Rik	0	0	0	0	0	1	0	0	0
6030458C11Rik	0	0	0	1	0	0	0	0	0
6030468B19Rik	0	0	0	0	0	0	0	0	0
6030498E09Rik	0	0	0	0	0	0	0	0	0
6230400D17Rik	0	0	0	0	0	0	0	0	0
6330403K07Rik	0	0	0	0	0	0	0	1	1
6330407A03Rik	0	0	0	0	0	0	0	0	0
6330408A02Rik	0	0	1	1	0	0	0	0	0
6330409D20Rik	0	0	0	0	0	0	0	1	1
6330415G19Rik	0	0	1	0	0	1	0	0	0
6330418K02Rik	0	0	0	1	0	0	0	1	1
6330549D23Rik	0	0	0	0	0	0	0	0	0
6430548M08Rik	1	0	0	0	0	1	1	1	1
6430550D23Rik	0	1	0	0	0	1	0	0	0
6430562O15Rik	0	0	0	0	0	1	0	0	0
6430573F11Rik	0	0	0	0	0	0	0	0	0
6430706D22Rik	0	1	0	0	0	0	0	0	0
6720489N17Rik	0	0	0	1	0	1	0	0	1
6820408C15Rik	0	0	0	0	0	0	0	0	0
6820431F20Rik	0	0	0	0	0	0	0	0	0
8030462N17Rik	0	0	0	1	0	0	0	0	1
8430426J06Rik	0	0	0	0	0	0	0	0	0
8430429K09Rik	0	0	0	0	0	1	0	1	0
8430431K14Rik	0	0	0	0	0	0	0	0	0
9030025P20Rik	0	0	0	0	0	0	0	0	0
9030617O03Rik	0	0	0	0	0	0	0	0	0
9030624G23Rik	1	1	0	1	0	0	0	0	1
9030624J02Rik	1	0	0	0	0	1	0	1	1
9130008F23Rik	0	0	0	0	0	0	0	0	1
9130011E15Rik	0	0	0	0	0	0	0	1	1
9130019O22Rik	0	1	1	0	0	1	0	1	1
9130023H24Rik	1	0	1	1	0	1	0	0	1
9130024F11Rik	0	0	0	0	0	0	0	0	1
9130221H12Rik	0	0	0	0	0	0	0	0	0
9130401M01Rik	0	0	0	1	0	0	0	1	1
9230102O04Rik	1	0	0	0	0	0	0	0	1
9230105E05Rik	0	0	0	0	0	0	0	0	0
9230110C19Rik	0	0	0	0	0	1	0	1	1
9230114K14Rik	0	0	0	0	0	0	0	1	0
9230116N13Rik	0	0	0	1	0	1	0	0	0
9330020H09Rik	0	0	0	0	0	0	0	0	0
9330102E08Rik	0	0	0	0	0	0	0	0	0
9330133O14Rik	0	0	0	0	0	1	0	0	1
9330151L19Rik	0	0	0	1	0	0	0	0	1
9330159F19Rik	0	0	0	0	0	0	0	0	0
9330159M07Rik	0	1	1	1	0	1	0	1	1
9330182L06Rik	1	0	0	0	0	0	0	1	1
9430015G10Rik	1	0	1	1	0	1	0	1	1
9430018G01Rik	0	0	0	0	0	0	0	0	0
9430020K01Rik	0	0	0	0	0	0	0	0	0
9430038I01Rik	0	0	0	0	0	1	1	0	0
9430069I07Rik	0	0	0	0	0	0	0	0	0
9430091E24Rik	0	1	0	0	0	1	0	1	1
9530027J09Rik	0	0	0	0	0	0	0	1	1
9530053A07Rik	0	0	0	0	0	0	0	0	0
9530068E07Rik	1	0	1	0	0	0	0	1	1
9530077C05Rik	1	0	1	0	0	1	0	0	1
9530082P21Rik	0	0	0	0	0	0	0	0	0
9530091C08Rik	0	0	0	0	0	0	0	0	0
9630013A20Rik	0	0	0	0	0	0	0	0	0
9630013K17Rik	0	0	0	0	0	0	0	0	0
9930012K11Rik	0	0	0	0	0	0	0	1	1
9930014A18Rik	1	0	0	0	0	0	0	1	1
9930021J03Rik	0	0	1	1	0	1	0	1	1
9930104L06Rik	0	0	0	0	0	0	0	0	0
A130010J15Rik	0	0	1	1	0	1	0	1	1
A230050P20Rik	0	0	1	1	0	1	0	1	1
A230056P14Rik	0	1	0	0	0	0	0	0	0
A230072C01Rik	0	0	0	0	0	0	0	0	0
A230077H06Rik	0	0	0	0	0	0	0	0	0
A230103J11Rik	0	0	0	0	0	0	0	0	0
A2m	0	1	0	0	1	1	0	0	0
A330009N23Rik	0	0	0	0	0	0	0	0	0
