gene	E14_ES_fpkm	Sp1hyp_ES_fpkm
0610005C13Rik	1.19090845	1.03489485
0610007P14Rik	15.8124461	12.9078775833333
0610009B22Rik	26.77690415	26.9385316166667
0610009L18Rik	0.714239333333333	0.808017933333333
0610009O20Rik	13.96823045	18.0863366333333
0610010B08Rik	0.000502966666666667	0.00197773333333333
0610010F05Rik	5.8761688	6.66356498333333
0610010K14Rik	27.9954677166667	32.6643573666667
0610012G03Rik	8.44485245	6.45866048333333
0610030E20Rik	2.7776334	4.77189961666667
0610037L13Rik	13.5906093166667	16.25436415
0610038B21Rik	0.224258416666667	0.1301898
0610039H22Rik	2.38212883333333	2.6290804
0610039K10Rik	0.610095783333333	0.288827766666667
0610040B10Rik	0.234830516666667	0.144470366666667
0610040F04Rik	1.98345785	3.5925498
0610040J01Rik	0.683394983333333	0.320874633333333
0610043K17Rik	0.715815783333333	0.261846566666667
1010001N08Rik	0	0
1110002J07Rik	0.701533783333333	1.05539818333333
1110002L01Rik	18.9115156666667	17.7896521333333
1110004E09Rik	18.2700393	14.75797395
1110004F10Rik	49.58546895	41.3432252333333
1110006O24Rik	0.161985766666667	0.13526865
1110008F13Rik	59.1961351	52.0552330666667
1110008L16Rik	20.5760883166667	17.0686736666667
1110008P14Rik	5.76300176666667	8.34281401666667
1110012L19Rik	12.6665091666667	8.72209331666667
1110019D14Rik	4.98487601666667	4.4206646
1110020A21Rik	0.335036933333333	0.449015133333333
1110032A03Rik	1.46692981666667	1.16264751666667
1110032F04Rik	0.2010397	0.212436533333333
1110034G24Rik	4.83177341666667	5.29370891666667
1110037F02Rik	24.1033673333333	22.2307664833333
1110038B12Rik	75.6820121	89.2257165333333
1110038F14Rik	14.8171110333333	12.4089436666667
1110051M20Rik	6.69353728333333	5.82755488333333
1110058D11Rik	0.762300516666667	0.621618233333333
1110059E24Rik	20.9221421333333	16.7003854833333
1110059G10Rik	1.62961965	1.41141596666667
1110065P20Rik	5.08317968333333	6.02786603333333
1190002N15Rik	11.1263733	11.0205351166667
1190005I06Rik	11.17288765	10.5105518
1190007I07Rik	7.57927741666667	11.7645689166667
1300002E11Rik	3.28602051666667	2.79418086666667
1300017J02Rik	0.0413834166666667	0.09308255
1500004A13Rik	5.64404835	5.35451673333333
1500009L16Rik	16.0104521166667	9.73910536666667
1500011B03Rik	11.8867453	11.3272737166667
1500011K16Rik	3.46796876666667	5.918201
1500015A07Rik	4.74907683333333	5.32200743333333
1600002H07Rik	11.4902495666667	12.8185735
1600002K03Rik	6.25968326666667	4.85461248333333
1600012H06Rik	8.10751105	11.4745573833333
1600014C10Rik	2.40238333333333	1.7604869
1600020E01Rik	10.3816156833333	9.64816413333333
1600023N17Rik	0.379352333333333	0.176596416666667
1600029I14Rik	0.15416385	0.0596112166666667
1700001D01Rik	0.19915525	0.33627165
1700001G11Rik	0.22795675	0.05132685
1700001G17Rik	0.0501398166666667	0.04843765
1700001K19Rik	0.44939515	0.689969966666667
1700001K23Rik	0.0516881666666667	0.0957796166666667
1700001L05Rik	10.4845171333333	7.03600056666667
1700001P01Rik	0.8000971	0.943001283333333
1700003E16Rik	0.15012415	0.233721933333333
1700003F12Rik	0.135234316666667	0.0707623333333333
1700003M07Rik	0.11960335	0.446014166666667
1700007J10Rik	0.779421033333333	0.725219833333333
1700007K13Rik	7.56059993333333	5.999966
1700007L15Rik	2.83247946666667	2.88202095
1700008J07Rik	1.06076445	1.5069272
1700008O03Rik	0.241365066666667	0.27881635
1700010I14Rik	0.214740433333333	0.15588735
1700012D01Rik	0.02468505	0.392180266666667
1700012D14Rik	0.6266317	1.20105108333333
1700012D16Rik	0.629971383333333	1.38908236666667
